id,type,properties,geometry
86,Feature,"{'id': '1179', 'modern': 'Ferschweiler', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.4212070990616, 49.858893774512]}"
87,Feature,"{'id': '1185', 'modern': 'Im Hewel', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.4737054531839, 50.064553171155]}"
88,Feature,"{'id': '1188', 'modern': 'Hohenfels', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.74175324106, 50.2459419005]}"
89,Feature,"{'id': '1189', 'modern': 'Holsthum', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.42325612946, 49.8884204966]}"
90,Feature,"{'id': '1191', 'modern': 'Idenheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.5724381618784, 49.899213135075]}"
91,Feature,"{'id': '1195', 'modern': 'Ingendorf', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.43190428219, 49.9356698876]}"
92,Feature,"{'id': '1210', 'modern': 'Malbergweich', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.53980194886, 50.0452754756]}"
93,Feature,"{'id': '1213', 'modern': 'Menningen', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.4773690768751, 49.839344823776]}"
94,Feature,"{'id': '1215', 'modern': 'Mettendorf', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.3492256516443, 49.936875711761]}"
95,Feature,"{'id': '1222', 'modern': 'Auf dem Rautenberg', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.57871696144, 49.8578147792]}"
96,Feature,"{'id': '1228', 'modern': 'Orenhofen', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.6553833173989, 49.907535620689]}"
97,Feature,"{'id': '19384', 'modern': 'Nusbaum', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.3633705711327, 49.901090414836]}"
