id,type,properties,geometry,country
58,Feature,"{'id': '984', 'modern': 'Wörrstadt', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.129248, 49.8424798]}",['DE']
59,Feature,"{'id': '985', 'modern': 'Köngernheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.2459175, 49.8453866]}",['DE']
60,Feature,"{'id': '992', 'modern': 'Abenheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.284925, 49.677192]}",['DE']
61,Feature,"{'id': '996', 'modern': 'Bechtolsheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.1907719, 49.802129]}",['DE']
62,Feature,"{'id': '1000', 'modern': 'Bubenheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.0796, 49.9212]}",['DE']
63,Feature,"{'id': '1001', 'modern': 'Dalheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.2952778, 49.8266667]}",['DE']
64,Feature,"{'id': '1004', 'modern': 'Gabsheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.17505, 49.827797]}",['DE']
65,Feature,"{'id': '1005', 'modern': 'Gau-Algesheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 200, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [7.991213, 49.968987]}",['DE']
66,Feature,"{'id': '1009', 'modern': 'Ockenheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [7.970582, 49.943915]}",['DE']
67,Feature,"{'id': '1010', 'modern': 'Pfeddersheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.280619, 49.636771]}",['DE']
68,Feature,"{'id': '1012', 'modern': 'Undenheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.2178745, 49.8397369]}",['DE']
69,Feature,"{'id': '1026', 'modern': 'Albsheim an der Eis', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.1809083, 49.5821314]}",['DE']
70,Feature,"{'id': '1048', 'modern': 'Speyerdorf', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.20392, 49.336725]}",['DE']
71,Feature,"{'id': '1094', 'modern': 'Nieder-Olm', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.2028021, 49.9113863]}",['DE']
